SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-15-2022,Single Family Residential,793 Mayfly Cres,Ottawa,ON,K2J 6C7,530000,2,2.5,Half Moon Bay,,930,2015,,,,Sold,,,https://www.redfin.com/on/ottawa/793-Mayfly-Cres-K2J-0T3/home/149641263,OREB,1312040,Y,Y,45.2443884,-75.7394794
PAST SALE,September-13-2022,Single Family Residential,53 Pondhawk Way,Ottawa,ON,K2J 5Z2,967500,4,3.5,Half Moon Bay,3218,9534,2014,,301,,Sold,,,https://www.redfin.com/on/ottawa/53-Pondhawk-Way-K2C-3H2/home/149669041,OREB,1309411,Y,Y,45.2438368,-75.7344317
PAST SALE,September-15-2022,Single Family Residential,5569 Van Vliet Dr,Ottawa,ON,K4M 1J4,979556,3,3.0,Manotick South Island,,22259,1982,,,,Sold,,,https://www.redfin.com/on/ottawa/5569-Van-Vliet-Rd-K4M-1J4/home/149546021,OREB,1310196,Y,Y,45.2263394,-75.6760831
PAST SALE,September-15-2022,Single Family Residential,1668 River Rd,Ottawa,ON,K4M 1B4,695000,3,2.5,Manotick,,25046,1978,,,,Sold,,,https://www.redfin.com/on/ottawa/1668-River-Rd-K4M-1B4/home/149491469,OREB,1311784,Y,Y,45.20962,-75.6494004
PAST SALE,September-18-2022,Single Family Residential,223 Andre Audet Ave,Ottawa,ON,K2J 5W7,489900,3,1.5,Half Moon Bay,,,2012,,,,Sold,,,https://www.redfin.com/on/ottawa/223-Andre-Audet-Ave-K2C-3H2/home/149515612,OREB,1313333,Y,Y,45.2469103,-75.7352275
PAST SALE,September-21-2022,Single Family Residential,978 Fameflower St,Ottawa,ON,K2J 7A1,680000,3,2.5,Half Moon Bay,,,2022,,,,Sold,,,https://www.redfin.com/on/ottawa/978-Fameflower-St-K2J-7A1/home/176813856,OREB,1304283,Y,Y,45.2398832,-75.7389359
PAST SALE,September-22-2022,Condo/Co-op,228 Shanly Pvt,Ottawa,ON,K2J 5X6,415000,,2.5,Stonebridge,,,2014,,,328,Sold,,,https://www.redfin.com/on/ottawa/228-Shanly-Pvt-K2J-0Z5/home/181278052,OREB,1310224,Y,Y,45.2537102,-75.7357847
PAST SALE,September-21-2022,Single Family Residential,137 Pennant Ave,Ottawa,ON,K2J 5W6,805000,3,2.5,Half Moon Bay,,3099,2012,,,,Sold,,,https://www.redfin.com/on/ottawa/137-Pennant-Ave-K2J-5W6/home/149052939,OREB,1312112,Y,Y,45.2470716,-75.7360805
PAST SALE,September-24-2022,Single Family Residential,825 Artemis Cir,Ottawa,ON,K4M 0H6,1200000,3,3.0,Manotick,,5612,2019,,,,Sold,,,https://www.redfin.com/on/ottawa/825-Artemis-Cir-K4M-1J8/home/149442023,OREB,1313018,Y,Y,45.2179262,-75.6688216
PAST SALE,September-22-2022,Single Family Residential,5298 Driscoll Dr,Manotick,ON,K4M 1E6,673000,2,1.5,North Island,,7134,1974,,,,Sold,,,https://www.redfin.com/on/ottawa/5298-Driscoll-Dr-K4M-1E6/home/149468777,OREB,1291950,Y,Y,45.2381071,-75.6985144
PAST SALE,September-23-2022,Single Family Residential,542 Snow Goose St,Ottawa,ON,K2J 6C7,504500,2,1.5,Half Moon Bay,,914,2014,,,,Sold,,,https://www.redfin.com/on/ottawa/542-Snow-Goose-St-K2J-0T3/home/149644833,OREB,1310353,Y,Y,45.2446259,-75.7400191
PAST SALE,September-26-2022,Single Family Residential,124 Cheyenne Way,Ottawa,ON,K2J 0E9,870000,4,3.0,Stonebridge,,4865,2006,,,,Sold,,,https://www.redfin.com/on/ottawa/124-Cheyenne-Way-K2J-0E9/home/149195048,OREB,1310622,Y,Y,45.2519428,-75.7312074
PAST SALE,September-29-2022,Single Family Residential,423 Dundonald Dr,Ottawa,ON,K2J 0G9,875000,4,2.5,Stonebridge/barrhaven,,5432,2008,,,,Sold,,,https://www.redfin.com/on/ottawa/423-Dundonald-Dr-K2J-0G9/home/149504002,OREB,1312594,Y,Y,45.2469532,-75.7278057
PAST SALE,October-4-2022,Single Family Residential,201 Andre Audet Ave,Ottawa,ON,K2J 5W7,535000,3,1.5,Half Moon Bay,,1981,2012,,,,Sold,,,https://www.redfin.com/on/ottawa/201-Andre-Audet-Ave-K2C-3H2/home/149055129,OREB,1305961,Y,Y,45.2463211,-75.7347465
PAST SALE,September-29-2022,Single Family Residential,5453 Long Island Rd,Ottawa,ON,K4M 1H3,915000,3,3.0,Manotick Long Island,,17005,1971,,,,Sold,,,https://www.redfin.com/on/ottawa/5453-Long-Island-Rd-K4M-1H3/home/149553387,OREB,1306162,Y,Y,45.2317795,-75.6849154
PAST SALE,October-2-2022,Single Family Residential,580 Chriscraft Way,Manotick,ON,K4M 0G3,1130000,4,3.0,Mahogany Community,,,2017,,,,Sold,,,https://www.redfin.com/on/ottawa/580-Chriscraft-Way-K4M-1J8/home/149509036,OREB,1311630,Y,Y,45.2157099,-75.6741226
PAST SALE,October-4-2022,Single Family Residential,58 Pondhawk Way,Nepean,ON,K2J 5Z2,775000,4,2.5,Half Moon Bay,,3043,2014,,,,Sold,,,https://www.redfin.com/on/ottawa/58-Pondhawk-Way-K2C-3H2/home/149350570,OREB,1314011,Y,Y,45.244357,-75.7341172
PAST SALE,October-12-2022,Single Family Residential,5580 Manotick Main St,Ottawa,ON,K4M 1A7,950000,3,1.5,Manotick Village,,12896,1858,,,,Sold,,,https://www.redfin.com/on/ottawa/5580-Manotick-Main-St-K4M-1E2/home/149557951,OREB,1303474,Y,Y,45.2233213,-75.6815436
PAST SALE,October-7-2022,Single Family Residential,231 Brambling Way,Ottawa,ON,K2J 0E4,720000,3,2.5,Half Moon Bay,,2673,2015,,,,Sold,,,https://www.redfin.com/on/ottawa/231-Brambling-Way-K2J-0T7/home/149332908,OREB,1314669,Y,Y,45.2497206,-75.7383431
PAST SALE,October-12-2022,Single Family Residential,34 Jetty Dr,Ottawa,ON,K4M 0E9,1110000,5,4.0,Manotick,,5899,2022,,,,Sold,,,https://www.redfin.com/on/ottawa/34-Jetty-Dr-K4M-0M5/home/171487357,OREB,1312625,Y,Y,45.2168552,-75.6809009
PAST SALE,October-13-2022,Single Family Residential,933 Rossburn Cres,Ottawa,ON,K2J 0Y5,855000,4,3.5,Barrhaven/stonebridge,,4685,2010,,,,Sold,,,https://www.redfin.com/on/ottawa/933-Rossburn-Cres-K2J-0L6/home/149521551,OREB,1315391,Y,Y,45.2522156,-75.7251281
PAST SALE,October-13-2022,Single Family Residential,5278 Mclean Cres,Manotick,ON,K4M 1G1,990000,1,2.5,Manotick Long Island,,8847,1983,,,,Sold,,,https://www.redfin.com/on/ottawa/5278-McLean-Cres-K4M-1G1/home/149463615,OREB,1311203,Y,Y,45.238611,-75.7010035
PAST SALE,October-14-2022,Single Family Residential,65 Hawktree Ridge,Ottawa,ON,K2J 5N3,675000,3,2.5,Stonebridge,,5231,2005,,,,Sold,,,https://www.redfin.com/on/ottawa/65-Hawktree-Ridge-K2J-5N3/home/149264259,OREB,1314565,Y,Y,45.252198,-75.7203755
PAST SALE,October-14-2022,Single Family Residential,683 Broad Cove Cres,Ottawa,ON,K2J 6H6,750000,3,2.5,Half Moon Bay,,,2016,,,,Sold,,,https://www.redfin.com/on/ottawa/683-Broad-Cove-Cres-K2C-3H2/home/149344035,OREB,1314671,Y,Y,45.241867,-75.7330381
